vatn_lnr;year;Ca;lnCa;lnTOC;sdep_pred;TOC;ndvi.summer;q.summer;tm.summer;SO4;ndvi.summer_lag1;ndvi.summer_lag2;ndvi.summer_lag3;ndvi.summer_lag4;ndvi.summer_lag5;q.summer_lag1;q.summer_lag2;q.summer_lag3;q.summer_lag4;q.summer_lag5;sdep_pred_lag1;sdep_pred_lag2;sdep_pred_lag3;sdep_pred_lag4;sdep_pred_lag5
282;1998;1.04;0.039220713;1.808288771;292.8830351;6.1;0.795600007;1.203900358;10.20206022;1.9;0.803450008;0.783749998;0.864750003;0.800599992;0.800583333;1.015898925;1.072567742;2.664887455;1.797237276;1.633442294;273.372162;394.8777087;458.3606621;507.0955179;571.9146162
282;1999;1.06;0.058268908;2.091864062;331.539158;8.1;0.849916667;1.937325448;11.02603943;1.8;0.795600007;0.803450008;0.783749998;0.864750003;0.800599992;1.203900358;1.015898925;1.072567742;2.664887455;1.797237276;292.8830351;273.372162;394.8777087;458.3606621;507.0955179
282;2000;0.91;-0.094310679;1.931521412;317.308556;6.9;0.853916675;1.423217921;10.45902437;1.6;0.849916667;0.795600007;0.803450008;0.783749998;0.864750003;1.937325448;1.203900358;1.015898925;1.072567742;2.664887455;331.539158;292.8830351;273.372162;394.8777087;458.3606621
282;2001;0.88;-0.127833372;2.00148;248.6015019;7.4;0.807583327;1.403205735;11.25763297;1.3;0.853916675;0.849916667;0.795600007;0.803450008;0.783749998;1.423217921;1.937325448;1.203900358;1.015898925;1.072567742;317.308556;331.539158;292.8830351;273.372162;394.8777087
282;2002;1.02;0.019802627;1.62924054;198.4150321;5.1;0.835500002;1.522763441;13.12282939;1.42;0.807583327;0.853916675;0.849916667;0.795600007;0.803450008;1.403205735;1.423217921;1.937325448;1.203900358;1.015898925;248.6015019;317.308556;331.539158;292.8830351;273.372162
282;2003;1.03;0.029558802;1.931521412;227.0618252;6.9;0.814416667;1.357040143;12.48870968;1.34;0.835500002;0.807583327;0.853916675;0.849916667;0.795600007;1.522763441;1.403205735;1.423217921;1.937325448;1.203900358;198.4150321;248.6015019;317.308556;331.539158;292.8830351
282;2004;1;0;1.931521412;214.6592434;6.9;0.786916668;0.723513262;11.40749319;1.43;0.814416667;0.835500002;0.807583327;0.853916675;0.849916667;1.357040143;1.522763441;1.403205735;1.423217921;1.937325448;227.0618252;198.4150321;248.6015019;317.308556;331.539158
282;2005;1.12;0.113328685;2.014903021;226.06856;7.5;0.80551666;1.175932616;11.62811541;1.37;0.786916668;0.814416667;0.835500002;0.807583327;0.853916675;0.723513262;1.357040143;1.522763441;1.403205735;1.423217921;214.6592434;227.0618252;198.4150321;248.6015019;317.308556
282;2006;1.35;0.300104592;2.602689685;231.6781531;13.5;0.862083331;0.921936918;13.34075269;1.44;0.80551666;0.786916668;0.814416667;0.835500002;0.807583327;1.175932616;0.723513262;1.357040143;1.522763441;1.403205735;226.06856;214.6592434;227.0618252;198.4150321;248.6015019
282;2007;1.05;0.048790164;1.686398954;104.412551;5.4;0.822916662;1.112297491;12.65293477;1.3;0.862083331;0.80551666;0.786916668;0.814416667;0.835500002;0.921936918;1.175932616;0.723513262;1.357040143;1.522763441;231.6781531;226.06856;214.6592434;227.0618252;198.4150321
282;2008;0.89;-0.116533816;1.85629799;127.988107;6.4;0.776466668;1.951298925;12.41778566;1.18;0.822916662;0.862083331;0.80551666;0.786916668;0.814416667;1.112297491;0.921936918;1.175932616;0.723513262;1.357040143;104.412551;231.6781531;226.06856;214.6592434;227.0618252
282;2009;1.01;0.009950331;2.302585093;121.0628207;10;0.771633332;1.77578638;12.40628459;1.07;0.776466668;0.822916662;0.862083331;0.80551666;0.786916668;1.951298925;1.112297491;0.921936918;1.175932616;0.723513262;127.988107;104.412551;231.6781531;226.06856;214.6592434
282;2010;0.95;-0.051293294;2.140066163;123.5647269;8.5;0.841266667;2.42901147;12.58653047;1.03;0.771633332;0.776466668;0.822916662;0.862083331;0.80551666;1.77578638;1.951298925;1.112297491;0.921936918;1.175932616;121.0628207;127.988107;104.412551;231.6781531;226.06856
282;2011;1.19;0.173953307;2.174751721;97.97712195;8.8;0.790266668;3.220196416;12.8530724;1.06;0.841266667;0.771633332;0.776466668;0.822916662;0.862083331;2.42901147;1.77578638;1.951298925;1.112297491;0.921936918;123.5647269;121.0628207;127.988107;104.412551;231.6781531
282;2012;1.06;0.058268908;2.054123734;92.6723374;7.8;;3.639066667;11.05121075;0.96;0.790266668;0.841266667;0.771633332;0.776466668;0.822916662;3.220196416;2.42901147;1.77578638;1.951298925;1.112297491;97.97712195;123.5647269;121.0628207;127.988107;104.412551
282;2013;0.87;-0.139262067;1.740466175;85.30871341;5.7;;1.336453047;12.44124803;1.03;;0.790266668;0.841266667;0.771633332;0.776466668;3.639066667;3.220196416;2.42901147;1.77578638;1.951298925;92.6723374;97.97712195;123.5647269;121.0628207;127.988107
331;1957;;;;;;;0.60274552;14.21058941;;;;;;;;;;;;;;;;
331;1958;;;;;;;0.789514934;14.1065452;;;;;;;0.60274552;;;;;;;;;
331;1959;;;;;;;0.256120669;15.5580231;;;;;;;0.789514934;0.60274552;;;;;;;;
331;1960;;;;;;;1.010856233;13.96415054;;;;;;;0.256120669;0.789514934;0.60274552;;;;;;;
331;1961;;;;;;;0.386164476;13.88553524;;;;;;;1.010856233;0.256120669;0.789514934;0.60274552;;;;;;
331;1962;;;;;;;1.646808045;12.30433692;;;;;;;0.386164476;1.010856233;0.256120669;0.789514934;0.60274552;;;;;
331;1963;;;;;;;0.766381521;14.17785982;;;;;;;1.646808045;0.386164476;1.010856233;0.256120669;0.789514934;;;;;
331;1964;;;;;;;0.566314616;12.92943051;;;;;;;0.766381521;1.646808045;0.386164476;1.010856233;0.256120669;;;;;
331;1965;;;;;;;1.3562728;13.26677818;;;;;;;0.566314616;0.766381521;1.646808045;0.386164476;1.010856233;;;;;
331;1966;;;;;;;0.543031063;14.61024014;;;;;;;1.3562728;0.566314616;0.766381521;1.646808045;0.386164476;;;;;
331;1967;;;;;;;0.549573477;14.06276225;;;;;;;0.543031063;1.3562728;0.566314616;0.766381521;1.646808045;;;;;
331;1968;;;;;;;0.348397053;14.6511585;;;;;;;0.549573477;0.543031063;1.3562728;0.566314616;0.766381521;;;;;
331;1969;;;;;;;0.459703704;15.71316766;;;;;;;0.348397053;0.549573477;0.543031063;1.3562728;0.566314616;;;;;
331;1970;;;;;;;0.603146953;14.66557865;;;;;;;0.459703704;0.348397053;0.549573477;0.543031063;1.3562728;;;;;
331;1971;;;;;;;0.47628634;13.9038646;;;;;;;0.603146953;0.459703704;0.348397053;0.549573477;0.543031063;;;;;
331;1972;;;;;;;1.165807646;14.33752927;;;;;;;0.47628634;0.603146953;0.459703704;0.348397053;0.549573477;;;;;
331;1973;;;;;;;0.938569494;14.52721266;;;;;;;1.165807646;0.47628634;0.603146953;0.459703704;0.348397053;;;;;
331;1974;;;;;;;0.236575468;13.77216089;;;;;;;0.938569494;1.165807646;0.47628634;0.603146953;0.459703704;;;;;
331;1975;;;;;;;0.316919952;15.22110235;;;;;;;0.236575468;0.938569494;1.165807646;0.47628634;0.603146953;;;;;
331;1976;;;;;;;0.180616487;15.28414934;;;;;;;0.316919952;0.236575468;0.938569494;1.165807646;0.47628634;;;;;
331;1977;;;;;;;0.391469136;14.16274154;;;;;;;0.180616487;0.316919952;0.236575468;0.938569494;1.165807646;;;;;
331;1978;;;;;;;0.374956193;13.83139944;;;;;;;0.391469136;0.180616487;0.316919952;0.236575468;0.938569494;;;;;
