"vatn_lnr" "year" "lnTOC" "sdep_pred" "TOC" "ndvi.summer" "q.summer" "tm.summer" "SO4" "ndvi.summer_lag1" "ndvi.summer_lag2" "ndvi.summer_lag3" "ndvi.summer_lag4" "ndvi.summer_lag5" "q.summer_lag1" "q.summer_lag2" "q.summer_lag3" "q.summer_lag4" "q.summer_lag5" "Cl"
"403" 1094 1960 NA NA NA NA 13.6192370071685 7.7696267921147 NA NA NA NA NA NA 8.86610349462366 14.8291155913978 13.8552096774193 NA NA NA
"404" 1094 1961 NA NA NA NA 11.6087844982079 6.88281944444444 NA NA NA NA NA NA 13.6192370071685 8.86610349462366 14.8291155913978 13.8552096774193 NA NA
"405" 1094 1962 NA NA NA NA 14.0031379928315 5.31857974910395 NA NA NA NA NA NA 11.6087844982079 13.6192370071685 8.86610349462366 14.8291155913978 13.8552096774193 NA
"406" 1094 1963 NA NA NA NA 16.0493938172043 8.02982930107527 NA NA NA NA NA NA 14.0031379928315 11.6087844982079 13.6192370071685 8.86610349462366 14.8291155913978 NA
"407" 1094 1964 NA NA NA NA 15.9521129032258 6.06689157706093 NA NA NA NA NA NA 16.0493938172043 14.0031379928315 11.6087844982079 13.6192370071685 8.86610349462366 NA
"408" 1094 1965 NA NA NA NA 17.9840757168459 6.3842311827957 NA NA NA NA NA NA 15.9521129032258 16.0493938172043 14.0031379928315 11.6087844982079 13.6192370071685 NA
"409" 1094 1966 NA NA NA NA 14.6991500896057 7.73320071684588 NA NA NA NA NA NA 17.9840757168459 15.9521129032258 16.0493938172043 14.0031379928315 11.6087844982079 NA
"410" 1094 1967 NA NA NA NA 21.9041850358423 6.72788799283154 NA NA NA NA NA NA 14.6991500896057 17.9840757168459 15.9521129032258 16.0493938172043 14.0031379928315 NA
"411" 1094 1968 NA NA NA NA 16.756875 7.77329480286738 NA NA NA NA NA NA 21.9041850358423 14.6991500896057 17.9840757168459 15.9521129032258 16.0493938172043 NA
"412" 1094 1969 NA NA NA NA 14.5138835125448 8.57381182795699 NA NA NA NA NA NA 16.756875 21.9041850358423 14.6991500896057 17.9840757168459 15.9521129032258 NA
"413" 1094 1970 NA NA NA NA 13.7860344982079 7.76122132616487 NA NA NA NA NA NA 14.5138835125448 16.756875 21.9041850358423 14.6991500896057 17.9840757168459 NA
"414" 1094 1971 NA NA NA NA 16.3228270609319 6.80793010752688 NA NA NA NA NA NA 13.7860344982079 14.5138835125448 16.756875 21.9041850358423 14.6991500896057 NA
"415" 1094 1972 NA NA NA NA 20.1116187275986 7.27435170250896 NA NA NA NA NA NA 16.3228270609319 13.7860344982079 14.5138835125448 16.756875 21.9041850358423 NA
"416" 1094 1973 NA NA NA NA 14.9227069892473 7.42806586021505 NA NA NA NA NA NA 20.1116187275986 16.3228270609319 13.7860344982079 14.5138835125448 16.756875 NA
"417" 1094 1974 NA NA NA NA 14.6026577060932 6.45448387096774 NA NA NA NA NA NA 14.9227069892473 20.1116187275986 16.3228270609319 13.7860344982079 14.5138835125448 NA
"418" 1094 1975 NA NA NA NA 15.179019265233 8.19164471326164 NA NA NA NA NA NA 14.6026577060932 14.9227069892473 20.1116187275986 16.3228270609319 13.7860344982079 NA
